ID;BESTLOC;GRAMS;portion;EUFDNAME
26;0;2;0;ALC
26;0;2;0;ASH
26;0;2;0;CA
26;0;2;0;CAROTENS
26;0;2;0;CARTB
26;2.7;2;0.054;CHOAVL
26;2.7;2;0.054;CHOCDF
26;0;2;0;CHOLE
26;0;2;0;CR
26;0;2;0;CU
26;1685;2;33;ENERC
26;0;2;0;F16D0T
26;0;2;0;F18D1T
26;0;2;0;F18D2CN6
26;0;2;0;F18D3N3
26;0;2;0;F20D4N6
26;0;2;0;F20D5N3
26;0;2;0;F22D6N3
26;1.839;2;0.03678;FACIDCTG
26;1.758;2;0.03516;FAFRE
26;0.567;2;0.01134;FAMCIS
26;0.057;2;0.00114;FAPU
26;0;2;0;FAPUN3
26;0;2;0;FAPUN6
26;0;2;0;FAS18
26;0.2;2;0.004;FASAT
26;0.4;2;0.008;FAT
26;0;2;0;FATRN
26;0;2;0;FD
26;0;2;0;FE
26;0;2;0;FIBC
26;0;2;0;FIBINS
26;0;2;0;FIBT
26;0;2;0;FOL
26;0;2;0;FRUS
26;1.335;2;0.0267;GALS
26;1.335;2;0.0267;GLUS
26;0;2;0;ID
26;0;2;0;K
26;0.03;2;0.0006;LACS
26;0;2;0;MALS
26;0;2;0;MG
26;0;2;0;MN
26;0;2;0;MO
26;0;2;0;MYRIC
26;23.53;2;0.4706;NA
26;59.95;2;1.199;NACL
26;0;2;0;NIA
26;0;2;0;NIAEQ
26;14.8;2;0.296;NT
26;0;2;0;OA
26;0;2;0;P
26;92.5;2;1.85;PROT
26;0;2;0;PSACNCS
26;0;2;0;QUERCE
26;0;2;0;RETOL
26;0;2;0;RIBF
26;0;2;0;SE
26;0;2;0;STARCH
26;0;2;0;STERT
26;0;2;0;SUCS
26;2.7;2;0.054;SUGAR
26;0;2;0;SUGOH
26;0;2;0;THIA
26;1310.7;2;26.214;TRP
26;0;2;0;VITA
26;0;2;0;VITB12
26;0;2;0;VITC
26;0;2;0;VITD
26;0;2;0;VITE
26;0;2;0;VITK
26;0;2;0;VITPYRID
26;3;2;0;WATER
26;0;2;0;ZN
36;0;11;0;ALC
36;3.1;11;0.341;ASH
36;276;11;30;CA
36;4;11;0;CAROTENS
36;3;11;0;CARTB
36;6.6;11;0.726;CHOAVL
36;19.1;11;2.101;CHOCDF
36;0;11;0;CHOLE
36;12;11;1;CR
36;0.78;11;0.0858;CU
36;2517.1;11;276.881;ENERC
36;3376.17;11;371.3787;F16D0T
36;32408.631;11;3564.94941;F18D1T
36;11931.65;11;1312.4815;F18D2CN6
36;270;11;29;F18D3N3
36;0;11;0;F20D4N6
36;0;11;0;F20D5N3
36;0;11;0;F22D6N3
36;51.239;11;5.63629;FACIDCTG
36;48.986;11;5.38846;FAFRE
36;32.7086;11;3.597946;FAMCIS
36;12.202;11;1.34222;FAPU
36;0.27;11;0.0297;FAPUN3
36;11.932;11;1.31252;FAPUN6
36;0.6499;11;0.071489;FAS18
36;4.0753;11;0.448283;FASAT
