PERSON;ID;BESTLOC;GRAMS;portion;EUFDNAME
paula;197;12.27;6;0.7362;CA
paula;197;3.1;6;0.186;CAROTENS
paula;197;0.59;6;0.0354;CARTB
paula;197;80.384;6;4.82304;CHOAVL
paula;197;82.373;6;4.94238;CHOCDF
paula;197;0.83;6;0.0498;CHOLE
paula;197;0.66;6;0.0396;CR
paula;197;0.0069;6;0.000414;CU
paula;197;1813.59;6;108.8154;ENERC
paula;197;3509.238;6;210.55428;F16D0T
paula;197;4061.13;6;243.6678;F18D1T
paula;197;926.88;6;55.6128;F18D2CN6
paula;197;175.31;6;10.5186;F18D3N3
paula;197;0.078;6;0.00468;F20D4N6
paula;197;0;6;0;F20D5N3
paula;197;0;6;0;F22D6N3
paula;197;10.682;6;0.64092;FACIDCTG
paula;197;10.231;6;0.61386;FAFRE
paula;197;4.1329;6;0.247974;FAMCIS
paula;197;1.104;6;0.06624;FAPU
paula;197;0.1753;6;0.010518;FAPUN3
paula;197;0.927;6;0.05562;FAPUN6
paula;197;1.3382;6;0.080292;FAS18
paula;197;4.9893;6;0.299358;FASAT
paula;197;11.042;6;0.66252;FAT
paula;197;0.0047;6;0.000282;FATRN
paula;197;0.033;6;0.00198;FD
paula;197;0.796;6;0.04776;FE
paula;197;1.976;6;0.11856;FIBC
paula;197;1.48;6;0.0888;FIBINS
paula;197;1.976;6;0.11856;FIBT
paula;197;2.7;6;0.162;FOL
paula;197;0;6;0;FRUS
paula;197;0;6;0;GALS
paula;197;2.664;6;0.15984;GLUS
paula;197;4.01;6;0.2406;ID
paula;197;235.55;6;14.133;K
paula;197;0.195;6;0.0117;LACS
paula;197;1.96;6;0.1176;MALS
paula;197;34.363;6;2.06178;MG
paula;197;0.0069;6;0.000414;MN
paula;197;0.0067;6;0.000402;MO
paula;197;0;6;0;MYRIC
paula;197;6.3;6;0.378;NA
paula;197;16.05;6;0.963;NACL
paula;197;0.133;6;0.00798;NIA
paula;197;0.403;6;0.02418;NIAEQ
paula;197;0.294;6;0.01764;NT
paula;197;0;6;0;OA
paula;197;47.5;6;2.85;P
paula;197;1.33;6;0.0798;PROT
paula;197;0.49;6;0.0294;PSACNCS
paula;197;3250;6;195;QUERCE
paula;197;1.14;6;0.0684;RETOL
paula;197;0.02;6;0.0012;RIBF
paula;197;0.653;6;0.03918;SE
paula;197;0.71;6;0.0426;STARCH
paula;197;25.62;6;1.5372;STERT
paula;197;65.434;6;3.92604;SUCS
paula;197;70.255;6;4.2153;SUGAR
paula;197;0;6;0;SUGOH
paula;197;0.0021;6;0.000126;THIA
paula;197;16.1;6;0.966;TRP
paula;197;1.189;6;0.07134;VITA
paula;197;0.01;6;0.0006;VITB12
paula;197;0.04;6;0.0024;VITC
paula;197;0.001;6;6.0e-05;VITD
paula;197;0.656;6;0.03936;VITE
paula;197;3.197;6;0.19182;VITK
